epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000300,176.8362,18.5822,7.0446,1.1052,277,240,37,0,0,,,
2,0.000840,90.3898,8.4614,5.6746,1.5860,287,249,38,0,0,,,
3,0.001380,66.0488,5.5786,5.3550,1.7131,283,245,38,0,0,,,
4,0.001920,49.3322,3.6276,5.0778,1.7680,286,249,37,0,0,,,
5,0.002460,38.5863,2.4091,4.8285,1.8434,285,247,38,0,0,0.0710,0.3778,0.0186
6,0.003000,31.8679,1.6243,4.7184,1.8796,286,249,36,0,0,,,
7,0.002996,30.7469,1.6996,4.2876,2.0177,244,211,32,0,0,,,
8,0.002986,30.1766,1.6680,4.2082,2.0482,241,208,33,0,0,,,
9,0.002968,29.4768,1.6159,4.1373,2.0845,239,206,33,0,0,,,
10,0.002942,29.1072,1.5942,4.0884,2.1034,246,212,33,0,0,0.2746,0.6433,0.0317
11,0.002910,28.9535,1.5843,4.0699,2.1230,249,215,34,0,0,,,
12,0.002872,28.1982,1.5428,3.9639,2.1321,243,210,33,0,0,,,
13,0.002826,27.8927,1.5199,3.9333,2.1426,242,209,33,0,0,,,
14,0.002774,28.0127,1.5630,3.8772,2.1669,236,206,30,0,0,,,
15,0.002716,27.3123,1.4917,3.8447,2.1596,239,210,29,0,0,0.3590,0.7165,0.0353
16,0.002653,27.1101,1.6139,3.5497,2.2675,196,170,26,0,0,,,
17,0.002583,26.6788,1.6081,3.4534,2.2854,187,162,24,0,0,,,
18,0.002509,26.4990,1.5887,3.4474,2.2837,195,170,25,0,0,,,
19,0.002429,26.1191,1.5626,3.4045,2.3100,195,170,25,0,0,,,
20,0.002345,26.0237,1.5382,3.4295,2.3098,195,170,25,0,0,0.4179,0.7616,0.0375
21,0.002257,25.3233,1.4979,3.3350,2.3272,190,164,25,0,0,,,
22,0.002166,25.3801,1.5044,3.3362,2.3322,194,168,26,0,0,,,
23,0.002071,25.4125,1.5057,3.3417,2.3472,197,171,26,0,0,,,
24,0.001974,25.2907,1.5002,3.3223,2.3540,196,170,26,0,0,,,
25,0.001874,25.0904,1.4782,3.3162,2.3622,195,168,26,0,0,0.4610,0.7830,0.0386
26,0.001773,24.7350,1.4591,3.2656,2.3622,197,171,26,0,0,,,
27,0.001670,25.1665,1.6467,2.9982,2.4525,149,129,20,0,0,,,
28,0.001567,24.7958,1.6058,2.9874,2.4800,153,132,21,0,0,,,
29,0.001463,24.6576,1.6129,2.9386,2.4834,148,127,21,0,0,,,
30,0.001360,24.7541,1.6077,2.9731,2.4743,152,131,21,0,0,0.4655,0.7978,0.0393
31,0.001257,24.3397,1.5752,2.9346,2.4962,152,131,21,0,0,,,
32,0.001156,23.9568,1.5388,2.9116,2.4916,153,132,21,0,0,,,
33,0.001056,24.3324,1.5758,2.9315,2.5038,151,130,21,0,0,,,
34,0.000959,23.9759,1.5434,2.9071,2.5113,151,129,21,0,0,,,
35,0.000864,23.6696,1.5305,2.8563,2.5170,151,130,20,0,0,0.4987,0.8113,0.0400
36,0.000773,23.6887,1.5303,2.8617,2.5227,150,129,21,0,0,,,
37,0.000685,23.5162,1.5114,2.8563,2.5281,154,132,22,0,0,,,
38,0.000601,23.5755,1.5221,2.8497,2.5281,151,130,21,0,0,,,
39,0.000521,23.3074,1.4963,2.8343,2.5304,152,131,21,0,0,,,
40,0.000447,23.4288,1.5177,2.8217,2.5362,152,130,21,0,0,0.5061,0.8174,0.0403
41,0.000377,23.1718,1.4802,2.8326,2.5461,152,130,21,0,0,,,
42,0.000314,23.3104,1.5088,2.8099,2.5440,151,130,21,0,0,,,
43,0.000256,22.8439,1.4610,2.7891,2.5348,153,132,21,0,0,,,
44,0.000204,23.0354,1.4850,2.7888,2.5559,153,131,22,0,0,,,
45,0.000158,22.7841,1.4625,2.7711,2.5482,151,130,21,0,0,0.5099,0.8211,0.0405
46,0.000120,22.7625,1.4471,2.7965,2.5295,148,128,20,0,0,,,
47,0.000088,23.0006,1.4832,2.7838,2.5504,152,131,21,0,0,,,
48,0.000062,22.7302,1.4550,2.7725,2.5520,152,131,21,0,0,,,
49,0.000044,22.8706,1.4583,2.8011,2.5431,155,134,21,0,0,,,
50,0.000034,22.9163,1.4686,2.7918,2.5455,150,130,20,0,0,0.5127,0.8214,0.0405
