epoch,lr,train_loss,obj_loss,box_loss,foot_loss,n_pos,ap,recall,precision
1,0.000300,8.8684,6.6376,1.0158,0.4708,1690,,,
2,0.000570,7.5508,5.0755,0.9378,0.3238,1729,,,
3,0.000840,7.0198,4.6220,0.9071,0.1730,1675,,,
4,0.001110,6.4789,4.0971,0.8649,0.1059,1699,,,
5,0.001380,6.2224,3.8812,0.8400,0.0817,1704,0.0280,0.3677,0.0106
6,0.001650,6.0772,3.7553,0.8249,0.0748,1707,,,
7,0.001920,5.9243,3.6345,0.8076,0.0692,1716,,,
8,0.002190,5.8314,3.5511,0.7989,0.0611,1672,,,
9,0.002460,5.7340,3.4439,0.7909,0.0577,1728,,,
10,0.002730,5.6736,3.4160,0.7823,0.0542,1690,0.0532,0.4070,0.0198
11,0.003000,5.5697,3.3005,0.7735,0.0520,1698,,,
12,0.003000,5.4974,3.2562,0.7641,0.0490,1725,,,
13,0.002999,5.4147,3.1916,0.7549,0.0442,1696,,,
14,0.002998,5.3690,3.1542,0.7490,0.0471,1684,,,
15,0.002997,5.2920,3.0706,0.7427,0.0430,1698,0.0827,0.4791,0.0275
16,0.002995,5.2474,3.0429,0.7370,0.0408,1710,,,
17,0.002993,5.2045,3.0194,0.7312,0.0386,1683,,,
18,0.002990,5.1697,2.9474,0.7320,0.0361,1718,,,
19,0.002987,5.1387,2.9350,0.7275,0.0337,1718,,,
20,0.002983,5.1158,2.9185,0.7248,0.0325,1733,0.1255,0.5243,0.0289
21,0.002980,5.0408,2.8880,0.7133,0.0301,1700,,,
22,0.002975,5.0314,2.8784,0.7123,0.0305,1695,,,
23,0.002971,5.0095,2.8460,0.7115,0.0289,1708,,,
24,0.002966,5.0239,2.8711,0.7119,0.0290,1719,,,
25,0.002960,4.9493,2.8033,0.7039,0.0282,1721,0.1327,0.5298,0.0377
26,0.002954,4.9612,2.8101,0.7058,0.0274,1696,,,
27,0.002948,4.9534,2.8105,0.7041,0.0278,1701,,,
28,0.002941,4.9280,2.7939,0.7009,0.0265,1686,,,
29,0.002934,4.8904,2.7453,0.6983,0.0264,1726,,,
30,0.002927,4.8911,2.7614,0.6969,0.0259,1689,0.1534,0.5392,0.0371
31,0.002919,4.8488,2.7207,0.6927,0.0250,1684,,,
32,0.002911,4.8441,2.7167,0.6923,0.0242,1711,,,
33,0.002902,4.8455,2.7188,0.6923,0.0244,1713,,,
34,0.002893,4.8147,2.6891,0.6893,0.0237,1701,,,
35,0.002884,4.8036,2.6700,0.6890,0.0237,1708,0.1615,0.5434,0.0446
36,0.002874,4.7989,2.6832,0.6868,0.0235,1756,,,
37,0.002864,4.7586,2.6505,0.6822,0.0225,1690,,,
38,0.002853,4.8124,2.7002,0.6875,0.0246,1710,,,
39,0.002843,4.7588,2.6511,0.6821,0.0227,1724,,,
40,0.002831,4.7780,2.6879,0.6823,0.0227,1711,0.1740,0.5648,0.0412
41,0.002820,4.7388,2.6182,0.6817,0.0213,1732,,,
42,0.002808,4.7554,2.6460,0.6821,0.0218,1720,,,
43,0.002796,4.7253,2.6153,0.6794,0.0209,1736,,,
44,0.002783,4.7012,2.5867,0.6773,0.0214,1727,,,
45,0.002770,4.6998,2.6005,0.6756,0.0216,1697,0.1790,0.5508,0.0459
46,0.002757,4.6655,2.5759,0.6713,0.0208,1716,,,
47,0.002743,4.6626,2.5740,0.6712,0.0196,1722,,,
48,0.002729,4.6542,2.5488,0.6720,0.0198,1745,,,
49,0.002714,4.6281,2.5499,0.6667,0.0199,1693,,,
50,0.002700,4.6313,2.5550,0.6667,0.0201,1734,0.1928,0.5746,0.0473
51,0.002685,4.6084,2.4958,0.6682,0.0194,1741,,,
52,0.002669,4.6030,2.5164,0.6650,0.0195,1721,,,
53,0.002654,4.6054,2.5309,0.6642,0.0191,1698,,,
54,0.002638,4.6226,2.5294,0.6679,0.0185,1688,,,
55,0.002621,4.5663,2.4808,0.6615,0.0183,1749,0.2065,0.5761,0.0492
56,0.002605,4.5783,2.4927,0.6629,0.0175,1736,,,
57,0.002588,4.5976,2.5223,0.6637,0.0178,1672,,,
58,0.002571,4.5584,2.5028,0.6579,0.0177,1709,,,
59,0.002553,4.5415,2.4781,0.6570,0.0177,1707,,,
60,0.002536,4.5453,2.4678,0.6588,0.0175,1693,0.1873,0.5737,0.0472
61,0.002518,4.5925,2.5124,0.6637,0.0180,1733,,,
62,0.002499,4.5693,2.4933,0.6609,0.0181,1714,,,
63,0.002481,4.5362,2.4566,0.6582,0.0170,1727,,,
64,0.002462,4.5308,2.4560,0.6571,0.0172,1683,,,
65,0.002443,4.5203,2.4545,0.6553,0.0163,1713,0.2205,0.5896,0.0533
66,0.002423,4.4948,2.4307,0.6525,0.0167,1700,,,
67,0.002404,4.4845,2.3986,0.6537,0.0167,1738,,,
68,0.002384,4.4748,2.4356,0.6482,0.0163,1694,,,
69,0.002364,4.5009,2.4398,0.6530,0.0160,1728,,,
70,0.002343,4.4853,2.4111,0.6529,0.0155,1734,0.2184,0.5984,0.0504
71,0.002323,4.4454,2.4029,0.6456,0.0157,1701,,,
72,0.002302,4.4612,2.3897,0.6501,0.0159,1710,,,
73,0.002281,4.4620,2.4086,0.6484,0.0159,1713,,,
74,0.002260,4.4636,2.3977,0.6498,0.0158,1732,,,
75,0.002238,4.4730,2.4165,0.6499,0.0152,1676,0.2209,0.5972,0.0499
76,0.002217,4.4353,2.3778,0.6463,0.0148,1692,,,
77,0.002195,4.4303,2.3924,0.6438,0.0151,1699,,,
78,0.002173,4.4422,2.3904,0.6463,0.0156,1713,,,
79,0.002150,4.4122,2.3602,0.6434,0.0152,1715,,,
