epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000300,32.6215,3.5225,1.1104,0.1767,51,49,2,0,0,,,
2,0.000570,17.6731,1.7281,0.9620,0.2421,51,49,2,0,0,,,
3,0.000840,13.9342,1.2976,0.8884,0.2752,52,49,2,0,0,,,
4,0.001110,11.2598,0.9832,0.8485,0.2942,51,49,2,0,0,,,
5,0.001380,9.4101,0.7628,0.8269,0.3069,52,49,2,0,0,0.0361,0.3146,0.0153
6,0.001650,7.9155,0.5890,0.8008,0.3190,52,50,2,0,0,,,
7,0.001920,6.7484,0.4562,0.7748,0.3307,52,50,2,0,0,,,
8,0.002190,5.7841,0.3419,0.7623,0.3379,51,49,2,0,0,,,
9,0.002460,5.1554,0.2626,0.7637,0.3451,51,49,2,0,0,,,
10,0.002730,4.6382,0.2092,0.7411,0.3523,52,50,2,0,0,0.0973,0.4284,0.0210
11,0.003000,4.2261,0.1667,0.7232,0.3549,51,49,2,0,0,,,
12,0.003000,4.2266,0.1646,0.7274,0.3613,52,50,2,0,0,,,
13,0.002999,4.1806,0.1624,0.7203,0.3640,52,49,2,0,0,,,
14,0.002999,4.1832,0.1666,0.7125,0.3693,52,49,2,0,0,,,
15,0.002998,4.0661,0.1568,0.7029,0.3680,52,50,2,0,0,0.1111,0.4062,0.0231
16,0.002997,3.9947,0.1513,0.6962,0.3749,52,49,2,0,0,,,
17,0.002995,4.0109,0.1525,0.6976,0.3743,52,49,2,0,0,,,
18,0.002994,3.9792,0.1542,0.6865,0.3790,52,50,2,0,0,,,
19,0.002992,3.9220,0.1491,0.6823,0.3827,51,49,2,0,0,,,
20,0.002990,3.8623,0.1444,0.6767,0.3857,51,49,2,0,0,0.1529,0.4716,0.0263
21,0.002987,3.8923,0.1474,0.6783,0.3861,51,48,2,0,0,,,
22,0.002985,3.8858,0.1474,0.6767,0.3867,51,49,2,0,0,,,
23,0.002982,3.8653,0.1487,0.6690,0.3863,52,50,2,0,0,,,
24,0.002979,3.8417,0.1443,0.6719,0.3900,52,50,2,0,0,,,
25,0.002975,3.8415,0.1476,0.6651,0.3924,52,50,2,0,0,0.1787,0.4666,0.0280
26,0.002971,3.7727,0.1389,0.6653,0.3930,52,50,2,0,0,,,
27,0.002968,3.7134,0.1612,0.6059,0.4194,44,42,2,0,0,,,
28,0.002963,3.6260,0.1519,0.6027,0.4205,44,42,2,0,0,,,
29,0.002959,3.6782,0.1603,0.5989,0.4263,44,42,2,0,0,,,
30,0.002954,3.6039,0.1544,0.5921,0.4258,44,42,2,0,0,0.2135,0.5180,0.0291
31,0.002949,3.5948,0.1522,0.5943,0.4267,45,42,2,0,0,,,
32,0.002944,3.5578,0.1517,0.5860,0.4283,44,42,2,0,0,,,
33,0.002939,3.6240,0.1567,0.5925,0.4279,44,42,2,0,0,,,
34,0.002933,3.5878,0.1516,0.5938,0.4275,44,42,2,0,0,,,
35,0.002927,3.5761,0.1545,0.5850,0.4320,44,42,2,0,0,0.2405,0.5551,0.0311
36,0.002921,3.5675,0.1529,0.5861,0.4332,45,43,2,0,0,,,
37,0.002915,3.5435,0.1520,0.5819,0.4316,44,42,2,0,0,,,
38,0.002908,3.5676,0.1508,0.5903,0.4318,44,42,2,0,0,,,
39,0.002901,3.5354,0.1490,0.5859,0.4326,45,43,2,0,0,,,
40,0.002894,3.5431,0.1488,0.5882,0.4342,45,42,2,0,0,0.2459,0.5543,0.0319
41,0.002887,3.5335,0.1486,0.5862,0.4346,44,42,2,0,0,,,
42,0.002879,3.5258,0.1520,0.5774,0.4390,45,43,2,0,0,,,
43,0.002872,3.4151,0.1433,0.5671,0.4363,44,42,2,0,0,,,
44,0.002864,3.4901,0.1469,0.5788,0.4388,44,42,2,0,0,,,
45,0.002855,3.4772,0.1467,0.5760,0.4419,44,42,2,0,0,0.2599,0.5463,0.0316
46,0.002847,3.4912,0.1472,0.5785,0.4403,45,43,2,0,0,,,
47,0.002838,3.4443,0.1457,0.5697,0.4417,44,42,2,0,0,,,
48,0.002829,3.4378,0.1469,0.5656,0.4393,44,42,2,0,0,,,
49,0.002820,3.4353,0.1461,0.5665,0.4423,44,42,2,0,0,,,
50,0.002811,3.4868,0.1456,0.5805,0.4402,45,43,2,0,0,0.2708,0.5728,0.0326
51,0.002801,5.1878,0.3157,0.6656,0.4433,41,37,3,1,0,,,
52,0.002791,5.1776,0.3174,0.6595,0.4466,40,36,3,1,0,,,
53,0.002781,5.0586,0.3110,0.6428,0.4511,41,37,3,1,0,,,
54,0.002771,5.0826,0.3167,0.6372,0.4530,40,36,3,1,0,,,
55,0.002760,5.0755,0.3152,0.6385,0.4558,41,37,3,1,0,0.2589,0.5435,0.0295
56,0.002750,5.0070,0.3097,0.6324,0.4530,41,37,3,1,0,,,
57,0.002739,4.9776,0.3087,0.6269,0.4564,40,36,3,1,0,,,
58,0.002728,5.0052,0.3070,0.6372,0.4551,41,37,3,1,0,,,
59,0.002716,4.9611,0.3031,0.6340,0.4559,41,37,3,1,0,,,
60,0.002705,4.9674,0.3051,0.6316,0.4560,41,37,3,1,0,0.2747,0.5812,0.0298
61,0.002693,4.9155,0.3032,0.6224,0.4583,41,37,3,1,0,,,
62,0.002681,4.9490,0.3055,0.6263,0.4566,41,37,3,1,0,,,
63,0.002669,5.0012,0.3118,0.6267,0.4592,41,37,3,1,0,,,
64,0.002657,5.0907,0.3280,0.6166,0.4541,40,37,3,0,0,,,
65,0.002644,5.0216,0.3179,0.6195,0.4499,39,36,2,0,0,0.2514,0.5450,0.0314
66,0.002631,4.9979,0.3153,0.6188,0.4499,39,36,2,0,0,,,
67,0.002619,4.9568,0.3107,0.6178,0.4500,40,37,2,0,0,,,
68,0.002605,5.0314,0.3196,0.6186,0.4548,39,36,2,0,0,,,
69,0.002592,4.9549,0.3165,0.6056,0.4569,39,36,2,0,0,,,
70,0.002579,4.9489,0.3123,0.6125,0.4547,40,37,3,0,0,0.2288,0.5239,0.0297
71,0.002565,4.9473,0.3166,0.6036,0.4590,40,36,3,0,0,,,
72,0.002551,4.9379,0.3109,0.6126,0.4595,39,36,2,0,0,,,
73,0.002537,4.9053,0.3074,0.6115,0.4555,40,37,2,0,0,,,
74,0.002523,4.9434,0.3128,0.6102,0.4578,40,37,3,0,0,,,
75,0.002509,4.9099,0.3095,0.6085,0.4572,40,37,3,0,0,0.2204,0.5016,0.0274
76,0.002494,4.8354,0.3309,0.5471,0.4921,33,30,2,0,0,,,
77,0.002479,4.7574,0.3234,0.5425,0.4958,33,30,2,0,0,,,
78,0.002465,4.7613,0.3243,0.5417,0.4916,32,30,2,0,0,,,
79,0.002450,4.7704,0.3228,0.5470,0.4914,33,30,2,0,0,,,
80,0.002434,4.7860,0.3292,0.5381,0.4944,33,29,2,0,0,0.1831,0.4537,0.0271
81,0.002419,4.7560,0.3257,0.5377,0.4963,33,30,2,0,0,,,
82,0.002404,4.7066,0.3197,0.5372,0.4972,33,30,2,0,0,,,
83,0.002388,4.6926,0.3182,0.5367,0.4938,32,30,2,0,0,,,
84,0.002372,4.6972,0.3197,0.5349,0.4942,34,31,2,0,0,,,
85,0.002356,4.6879,0.3174,0.5373,0.4936,32,30,2,0,0,0.2323,0.5461,0.0269
86,0.002340,4.6830,0.3179,0.5349,0.4974,33,30,2,0,0,,,
87,0.002324,4.6842,0.3205,0.5301,0.4961,33,30,2,0,0,,,
