epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000200,109.1010,6.4300,3.1107,0.1903,75,65,10,0,0,,,
2,0.000380,54.1442,3.0699,2.5375,0.3273,74,64,10,0,0,,,
3,0.000560,39.0649,2.1650,2.2446,0.3799,73,63,9,0,0,,,
4,0.000740,31.7057,1.7167,2.1549,0.3986,73,63,10,0,0,,,
5,0.000920,26.4646,1.3930,2.1229,0.4121,75,64,10,0,0,0.0646,0.4205,0.0207
6,0.001100,22.2724,1.1383,2.0611,0.4242,74,64,10,0,0,,,
7,0.001280,18.6969,0.9176,2.0321,0.4319,75,66,9,0,0,,,
8,0.001460,15.9194,0.7429,2.0327,0.4348,74,64,10,0,0,,,
9,0.001640,13.6512,0.6080,1.9705,0.4493,74,64,10,0,0,,,
10,0.001820,11.4711,0.4713,1.9632,0.4478,73,63,10,0,0,0.1289,0.5548,0.0273
11,0.002000,10.2486,0.4010,1.9085,0.4553,76,66,10,0,0,,,
12,0.002000,10.0673,0.3955,1.8618,0.4673,75,65,10,0,0,,,
13,0.002000,9.8321,0.3834,1.8395,0.4711,74,65,10,0,0,,,
14,0.002000,9.7769,0.3841,1.8066,0.4799,74,64,10,0,0,,,
15,0.001999,9.6428,0.3781,1.7870,0.4779,74,64,9,0,0,0.1673,0.5592,0.0275
16,0.001999,9.5129,0.3691,1.7921,0.4840,74,64,10,0,0,,,
17,0.001999,9.4725,0.3700,1.7647,0.4935,73,63,10,0,0,,,
18,0.001998,9.2639,0.3590,1.7468,0.4908,74,65,9,0,0,,,
19,0.001998,9.1939,0.3563,1.7327,0.4958,73,64,10,0,0,,,
20,0.001997,9.2340,0.3608,1.7173,0.5028,75,65,10,0,0,0.2688,0.6949,0.0342
21,0.001997,9.1587,0.3556,1.7195,0.4993,75,65,10,0,0,,,
22,0.001996,9.0530,0.3495,1.7141,0.5003,74,65,10,0,0,,,
23,0.001995,8.8558,0.3412,1.6813,0.5050,73,64,10,0,0,,,
24,0.001995,8.7888,0.3378,1.6733,0.5075,73,63,10,0,0,,,
25,0.001994,8.7865,0.3352,1.6907,0.5081,75,65,10,0,0,0.2700,0.6881,0.0339
26,0.001993,8.7152,0.3340,1.6648,0.5129,74,64,10,0,0,,,
27,0.001992,8.6844,0.3334,1.6538,0.5102,74,64,10,0,0,,,
28,0.001991,8.7331,0.3367,1.6525,0.5119,74,64,10,0,0,,,
29,0.001990,8.5248,0.3255,1.6353,0.5154,74,64,10,0,0,,,
30,0.001988,8.5015,0.3242,1.6325,0.5183,75,65,10,0,0,0.3580,0.7265,0.0358
31,0.001987,8.5573,0.3255,1.6484,0.5181,75,65,10,0,0,,,
32,0.001986,8.2847,0.3106,1.6276,0.5170,75,65,10,0,0,,,
33,0.001984,8.3968,0.3153,1.6449,0.5184,75,65,10,0,0,,,
34,0.001983,8.3395,0.3141,1.6267,0.5226,75,65,10,0,0,,,
35,0.001982,8.4616,0.3200,1.6402,0.5210,76,66,10,0,0,0.3348,0.6990,0.0344
36,0.001980,8.2996,0.3135,1.6105,0.5217,75,65,10,0,0,,,
37,0.001978,8.1553,0.3052,1.6016,0.5217,73,64,10,0,0,,,
38,0.001977,8.1602,0.3053,1.6024,0.5214,75,66,10,0,0,,,
39,0.001975,8.3031,0.3143,1.6043,0.5255,74,64,10,0,0,,,
40,0.001973,8.2876,0.3148,1.5930,0.5257,75,65,10,0,0,0.3980,0.7533,0.0371
41,0.001971,8.1526,0.3049,1.5993,0.5258,74,64,10,0,0,,,
42,0.001969,8.1056,0.3017,1.5987,0.5272,74,64,10,0,0,,,
43,0.001967,8.1128,0.3054,1.5757,0.5306,74,64,10,0,0,,,
44,0.001965,8.0256,0.2994,1.5769,0.5293,73,64,10,0,0,,,
45,0.001963,8.1027,0.3026,1.5890,0.5308,76,65,10,0,0,0.4208,0.7579,0.0373
46,0.001961,7.9763,0.2979,1.5631,0.5296,73,63,9,0,0,,,
47,0.001959,7.9416,0.2955,1.5627,0.5300,75,66,10,0,0,,,
48,0.001956,8.0249,0.2995,1.5727,0.5317,73,64,10,0,0,,,
49,0.001954,8.0023,0.2979,1.5721,0.5337,76,65,10,0,0,,,
50,0.001952,7.9141,0.2957,1.5465,0.5359,73,63,9,0,0,0.4393,0.7684,0.0378
51,0.001949,7.8736,0.2942,1.5378,0.5358,74,64,10,0,0,,,
52,0.001946,7.9006,0.2914,1.5675,0.5354,74,64,10,0,0,,,
53,0.001944,7.9329,0.2964,1.5480,0.5343,74,64,10,0,0,,,
54,0.001941,7.8793,0.2913,1.5573,0.5346,74,65,10,0,0,,,
55,0.001938,7.9360,0.2946,1.5595,0.5345,75,65,10,0,0,0.4308,0.7562,0.0372
56,0.001936,7.9161,0.2950,1.5477,0.5369,74,65,10,0,0,,,
57,0.001933,7.7805,0.2835,1.5620,0.5329,74,64,10,0,0,,,
58,0.001930,7.7791,0.2864,1.5421,0.5360,75,65,9,0,0,,,
59,0.001927,7.7915,0.2865,1.5458,0.5385,75,65,10,0,0,,,
60,0.001924,7.7804,0.2872,1.5357,0.5404,74,64,10,0,0,0.4526,0.7746,0.0382
61,0.001921,7.8465,0.2884,1.5555,0.5368,74,64,10,0,0,,,
62,0.001918,7.7931,0.2876,1.5367,0.5390,76,66,10,0,0,,,
63,0.001914,7.8460,0.2892,1.5487,0.5413,75,65,10,0,0,,,
64,0.001911,7.7137,0.2824,1.5337,0.5382,73,63,10,0,0,,,
65,0.001908,7.6957,0.2814,1.5319,0.5421,74,64,10,0,0,0.4613,0.7767,0.0383
66,0.001904,7.7650,0.2865,1.5285,0.5410,74,65,10,0,0,,,
67,0.001901,7.6926,0.2796,1.5396,0.5388,75,65,10,0,0,,,
68,0.001897,7.7106,0.2851,1.5121,0.5421,74,64,10,0,0,,,
69,0.001894,7.7330,0.2852,1.5202,0.5405,74,64,10,0,0,,,
70,0.001890,7.6687,0.2780,1.5368,0.5429,75,65,10,0,0,0.4697,0.7843,0.0387
71,0.001887,7.6520,0.2793,1.5210,0.5440,72,62,9,0,0,,,
72,0.001883,7.6377,0.2808,1.5048,0.5450,74,64,9,0,0,,,
73,0.001879,7.7532,0.2831,1.5389,0.5424,76,66,10,0,0,,,
74,0.001875,7.7386,0.2877,1.5035,0.5450,74,64,9,0,0,,,
75,0.001871,7.6002,0.2782,1.5025,0.5436,75,65,10,0,0,0.4764,0.7806,0.0385
76,0.001867,7.6143,0.2787,1.5046,0.5411,73,64,9,0,0,,,
77,0.001863,7.6435,0.2788,1.5156,0.5472,75,65,10,0,0,,,
78,0.001859,7.5432,0.2726,1.5099,0.5499,73,63,10,0,0,,,
79,0.001855,7.5418,0.2731,1.5058,0.5410,73,64,9,0,0,,,
80,0.001851,7.6116,0.2754,1.5201,0.5479,76,66,10,0,0,0.4726,0.7842,0.0387
81,0.001847,7.6572,0.2777,1.5243,0.5467,75,65,10,0,0,,,
82,0.001842,7.6556,0.2820,1.4972,0.5497,74,64,10,0,0,,,
83,0.001838,7.5005,0.2723,1.4900,0.5477,74,64,10,0,0,,,
84,0.001834,7.5935,0.2764,1.5030,0.5470,74,64,9,0,0,,,
85,0.001829,7.5290,0.2717,1.5033,0.5458,74,65,10,0,0,0.4874,0.7894,0.0389
86,0.001825,7.6832,0.2807,1.5132,0.5491,74,64,10,0,0,,,
87,0.001820,7.5114,0.2714,1.4962,0.5482,73,64,10,0,0,,,
88,0.001816,7.4184,0.2649,1.4955,0.5498,74,64,9,0,0,,,
89,0.001811,7.4922,0.2709,1.4895,0.5460,74,64,9,0,0,,,
90,0.001806,7.5350,0.2755,1.4793,0.5489,75,65,10,0,0,0.5103,0.8132,0.0401
91,0.001801,7.4922,0.2698,1.4940,0.5510,74,65,10,0,0,,,
92,0.001797,7.4804,0.2693,1.4916,0.5477,74,64,10,0,0,,,
93,0.001792,7.5487,0.2741,1.4911,0.5537,75,65,10,0,0,,,
94,0.001787,7.5592,0.2724,1.5040,0.5509,75,65,10,0,0,,,
95,0.001782,7.4280,0.2663,1.4848,0.5497,75,65,10,0,0,0.4976,0.7971,0.0393
96,0.001777,7.5036,0.2700,1.4938,0.5504,73,63,10,0,0,,,
97,0.001772,7.4607,0.2700,1.4755,0.5527,72,63,9,0,0,,,
98,0.001767,7.5236,0.2725,1.4859,0.5507,74,64,10,0,0,,,
99,0.001762,7.4512,0.2672,1.4857,0.5503,74,64,10,0,0,,,
100,0.001756,7.4376,0.2648,1.4931,0.5523,75,65,10,0,0,0.4971,0.7967,0.0393
101,0.001751,7.5387,0.2733,1.4852,0.5533,74,64,10,0,0,,,
102,0.001746,7.4164,0.2632,1.4920,0.5508,74,64,10,0,0,,,
103,0.001740,7.4476,0.2645,1.4960,0.5483,74,65,10,0,0,,,
104,0.001735,7.4652,0.2680,1.4827,0.5511,75,65,10,0,0,,,
105,0.001729,7.4553,0.2671,1.4828,0.5523,75,65,10,0,0,0.5125,0.8051,0.0397
106,0.001724,7.4390,0.2675,1.4737,0.5513,73,63,9,0,0,,,
107,0.001718,7.4482,0.2671,1.4787,0.5530,75,65,10,0,0,,,
108,0.001713,7.4058,0.2617,1.4909,0.5529,73,64,10,0,0,,,
109,0.001707,7.3605,0.2599,1.4817,0.5540,75,65,10,0,0,,,
110,0.001702,7.3082,0.2571,1.4754,0.5536,74,64,10,0,0,0.5104,0.8060,0.0398
