epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000200,108.6790,6.5405,2.0153,0.1883,73,63,10,0,0,,,
2,0.000380,54.3312,3.1920,1.6574,0.3185,73,64,9,0,0,,,
3,0.000560,38.2848,2.2142,1.4658,0.3869,74,64,10,0,0,,,
4,0.000740,30.4438,1.7353,1.3813,0.4060,73,63,9,0,0,,,
5,0.000920,25.2866,1.4125,1.3859,0.4136,74,64,10,0,0,0.0568,0.4060,0.0200
6,0.001100,20.8168,1.1398,1.3306,0.4197,73,64,9,0,0,,,
7,0.001280,17.3331,0.9222,1.3245,0.4269,74,64,10,0,0,,,
8,0.001460,14.7959,0.7657,1.3034,0.4366,74,64,10,0,0,,,
9,0.001640,11.8977,0.5871,1.2733,0.4367,72,63,9,0,0,,,
10,0.001820,10.3506,0.4950,1.2318,0.4523,74,64,10,0,0,0.1484,0.5452,0.0268
11,0.002000,8.7339,0.3906,1.2497,0.4484,73,64,10,0,0,,,
12,0.002000,8.7946,0.3997,1.2100,0.4637,74,64,10,0,0,,,
13,0.002000,8.7642,0.4005,1.1902,0.4696,74,64,10,0,0,,,
14,0.002000,8.5673,0.3905,1.1723,0.4716,73,63,10,0,0,,,
15,0.001999,8.4257,0.3837,1.1562,0.4787,74,64,10,0,0,0.2142,0.5955,0.0293
16,0.001999,8.1690,0.3700,1.1372,0.4832,74,64,10,0,0,,,
17,0.001999,8.0375,0.3618,1.1366,0.4845,73,64,10,0,0,,,
18,0.001998,8.1918,0.3716,1.1376,0.4898,74,64,10,0,0,,,
19,0.001998,8.1055,0.3676,1.1275,0.4934,74,64,10,0,0,,,
20,0.001997,7.9478,0.3605,1.1056,0.4970,73,64,9,0,0,0.2607,0.6424,0.0316
21,0.001997,7.9180,0.3610,1.0887,0.4969,73,63,10,0,0,,,
22,0.001996,7.8538,0.3567,1.0907,0.4990,75,65,10,0,0,,,
23,0.001995,7.8105,0.3546,1.0870,0.5022,74,64,10,0,0,,,
24,0.001995,7.9206,0.3600,1.0999,0.5008,76,66,10,0,0,,,
25,0.001994,7.6252,0.3417,1.0951,0.5018,75,65,10,0,0,0.2923,0.6774,0.0334
26,0.001993,7.5444,0.3385,1.0813,0.5034,74,64,10,0,0,,,
27,0.001992,7.5093,0.3373,1.0745,0.5052,75,65,10,0,0,,,
28,0.001991,7.4702,0.3359,1.0663,0.5080,73,63,10,0,0,,,
29,0.001990,7.4223,0.3326,1.0684,0.5072,74,64,10,0,0,,,
30,0.001988,7.4362,0.3343,1.0636,0.5097,75,65,10,0,0,0.3249,0.6866,0.0338
31,0.001987,7.3322,0.3283,1.0589,0.5105,74,65,9,0,0,,,
32,0.001986,7.2601,0.3250,1.0496,0.5151,73,64,9,0,0,,,
33,0.001984,7.2349,0.3226,1.0552,0.5092,73,64,10,0,0,,,
34,0.001983,7.2663,0.3251,1.0528,0.5143,74,64,10,0,0,,,
35,0.001982,7.1982,0.3216,1.0466,0.5149,75,66,10,0,0,0.3585,0.7113,0.0350
36,0.001980,7.2406,0.3253,1.0406,0.5166,74,64,10,0,0,,,
37,0.001978,7.1549,0.3205,1.0354,0.5186,73,64,9,0,0,,,
38,0.001977,7.1213,0.3167,1.0472,0.5171,75,65,10,0,0,,,
39,0.001975,7.0417,0.3156,1.0188,0.5192,73,64,9,0,0,,,
40,0.001973,7.0504,0.3157,1.0228,0.5191,74,64,10,0,0,0.3820,0.7351,0.0362
41,0.001971,7.1695,0.3211,1.0404,0.5189,75,65,10,0,0,,,
42,0.001969,7.0915,0.3186,1.0230,0.5226,74,64,10,0,0,,,
43,0.001967,6.9587,0.3110,1.0152,0.5243,73,64,9,0,0,,,
44,0.001965,6.9509,0.3100,1.0194,0.5242,75,65,10,0,0,,,
45,0.001963,6.8998,0.3077,1.0126,0.5238,72,63,9,0,0,0.4034,0.7359,0.0363
46,0.001961,6.8739,0.3052,1.0182,0.5247,76,66,10,0,0,,,
47,0.001959,6.8424,0.3044,1.0100,0.5232,74,64,10,0,0,,,
48,0.001956,6.8009,0.3017,1.0102,0.5243,74,64,9,0,0,,,
49,0.001954,6.8140,0.3038,1.0020,0.5270,76,66,10,0,0,,,
