epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.001000,3.9092,0.0173,1.8164,1.0320,3376,2934,437,5,0,,,
2,0.001900,2.9320,0.0071,1.4055,1.6313,3483,3020,459,4,0,,,
3,0.002800,2.6313,0.0051,1.2684,1.7766,3485,3024,457,4,0,,,
4,0.003700,2.5505,0.0042,1.2329,1.8253,3557,3094,458,4,0,,,
5,0.004600,2.5172,0.0036,1.2180,1.8381,3553,3095,454,4,0,0.0960,0.5083,0.0250
6,0.005500,2.5140,0.0030,1.2177,1.8349,3519,3062,452,4,0,,,
7,0.006400,2.5058,0.0026,1.2143,1.8404,3501,3037,460,4,0,,,
8,0.007300,2.5080,0.0021,1.2163,1.8381,3407,2960,443,4,0,,,
9,0.008200,2.5002,0.0018,1.2120,1.8386,3551,3088,458,4,0,,,
10,0.009100,2.4953,0.0014,1.2090,1.8341,3485,3018,463,4,1,0.0338,0.4428,0.0218
11,0.010000,2.5199,0.0012,1.2200,1.8308,3538,3082,450,5,0,,,
12,0.010000,2.4961,0.0012,1.2053,1.8324,3578,3117,457,4,0,,,
13,0.009999,2.5101,0.0012,1.2090,1.8513,3592,3112,475,4,0,,,
14,0.009999,2.4894,0.0012,1.1961,1.8525,3505,3051,449,4,0,,,
15,0.009997,2.4876,0.0012,1.1923,1.8643,3513,3047,462,5,0,0.0589,0.4458,0.0220
16,0.009996,2.5102,0.0012,1.2003,1.8584,3549,3082,462,5,0,,,
17,0.009994,2.4899,0.0013,1.1876,1.8700,3533,3076,451,5,0,,,
18,0.009992,2.4886,0.0012,1.1843,1.8616,3535,3059,472,4,0,,,
19,0.009990,2.4796,0.0012,1.1775,1.8744,3485,3044,435,5,0,,,
20,0.009987,2.4821,0.0012,1.1755,1.8910,3535,3062,469,4,0,0.1076,0.4857,0.0239
21,0.009984,2.4611,0.0012,1.1628,1.8861,3473,3001,468,4,0,,,
22,0.009981,2.4475,0.0012,1.1537,1.8834,3490,3029,455,5,0,,,
23,0.009977,2.4839,0.0013,1.1679,1.8891,3515,3052,458,4,0,,,
24,0.009973,2.4625,0.0012,1.1554,1.8895,3531,3073,453,4,0,,,
25,0.009969,2.4907,0.0012,1.1659,1.8954,3495,3027,464,4,0,0.0959,0.4885,0.0241
26,0.009964,2.4840,0.0013,1.1596,1.8984,3526,3045,477,4,0,,,
27,0.009959,2.4780,0.0013,1.1541,1.8994,3554,3095,454,4,0,,,
28,0.009954,2.4869,0.0012,1.1558,1.8878,3517,3054,458,5,0,,,
29,0.009948,2.4884,0.0013,1.1535,1.9094,3506,3037,462,6,0,,,
30,0.009942,2.4866,0.0013,1.1502,1.9110,3517,3059,453,4,1,0.1056,0.5273,0.0260
31,0.009936,2.4800,0.0012,1.1445,1.9309,3481,3018,458,4,0,,,
32,0.009929,2.5045,0.0012,1.1534,1.9144,3489,3043,442,4,0,,,
33,0.009922,2.5150,0.0013,1.1554,1.9099,3610,3139,468,3,0,,,
34,0.009915,2.5102,0.0013,1.1502,1.9173,3604,3111,488,5,0,,,
35,0.009908,2.5032,0.0013,1.1446,1.9049,3613,3146,463,4,0,0.1340,0.5241,0.0258
36,0.009900,2.4793,0.0012,1.1312,1.9201,3477,3015,457,5,0,,,
37,0.009892,2.5010,0.0013,1.1383,1.9162,3599,3134,461,4,0,,,
38,0.009883,2.5342,0.0013,1.1510,1.9301,3467,2991,471,4,0,,,
39,0.009875,2.4860,0.0013,1.1263,1.9214,3516,3057,454,5,0,,,
40,0.009866,2.4943,0.0012,1.1278,1.9367,3532,3065,463,4,0,0.1451,0.5455,0.0269
41,0.009856,2.5333,0.0013,1.1426,1.9220,3594,3130,459,5,0,,,
42,0.009846,2.5280,0.0013,1.1378,1.9161,3522,3068,448,5,0,,,
43,0.009836,2.5263,0.0013,1.1346,1.9320,3519,3049,465,5,0,,,
44,0.009826,2.5328,0.0013,1.1347,1.9307,3539,3072,462,4,0,,,
45,0.009816,2.5108,0.0012,1.1226,1.9443,3509,3057,448,4,0,0.1569,0.5814,0.0286
46,0.009805,2.5338,0.0013,1.1301,1.9339,3504,3033,465,5,0,,,
47,0.009793,2.5388,0.0012,1.1301,1.9529,3470,3000,466,4,0,,,
48,0.009782,2.5098,0.0012,1.1146,1.9459,3477,3019,452,5,0,,,
49,0.009770,2.5588,0.0013,1.1336,1.9362,3623,3136,482,4,0,,,
50,0.009758,2.5194,0.0012,1.1140,1.9504,3504,3052,448,4,0,0.1549,0.5875,0.0289
51,0.009745,2.5410,0.0013,1.1210,1.9430,3540,3067,469,4,0,,,
52,0.009732,2.5459,0.0013,1.1207,1.9563,3535,3066,465,4,0,,,
53,0.009719,2.5584,0.0013,1.1236,1.9421,3567,3103,458,4,0,,,
54,0.009706,2.5484,0.0012,1.1169,1.9400,3554,3095,455,4,0,,,
55,0.009692,2.5662,0.0013,1.1222,1.9533,3569,3096,468,5,0,0.1575,0.5921,0.0292
56,0.009678,2.5611,0.0013,1.1175,1.9511,3508,3037,466,5,0,,,
57,0.009664,2.5501,0.0013,1.1101,1.9509,3528,3054,470,5,0,,,
58,0.009649,2.5809,0.0013,1.1212,1.9442,3562,3102,455,4,0,,,
59,0.009635,2.5922,0.0013,1.1237,1.9566,3549,3071,474,4,0,,,
60,0.009619,2.5700,0.0012,1.1119,1.9570,3506,3055,448,4,0,0.1171,0.4847,0.0239
61,0.009604,2.5805,0.0013,1.1139,1.9694,3557,3092,460,5,0,,,
62,0.009588,2.5705,0.0013,1.1069,1.9859,3566,3084,477,4,0,,,
63,0.009572,2.5580,0.0012,1.0995,1.9636,3522,3060,458,5,0,,,
64,0.009556,2.5755,0.0012,1.1046,1.9691,3475,3004,467,4,0,,,
65,0.009539,2.6020,0.0012,1.1137,1.9640,3476,3022,450,4,0,0.1555,0.5744,0.0283
66,0.009522,2.5724,0.0013,1.0984,1.9804,3537,3064,469,4,0,,,
67,0.009505,2.6079,0.0013,1.1113,1.9732,3597,3116,477,4,0,,,
68,0.009487,2.6000,0.0013,1.1056,1.9645,3527,3057,466,4,0,,,
69,0.009469,2.6128,0.0013,1.1086,1.9752,3539,3065,469,5,0,,,
70,0.009451,2.5914,0.0012,1.0973,1.9699,3556,3100,452,4,0,0.1494,0.5761,0.0284
71,0.009433,2.6103,0.0013,1.1029,1.9711,3566,3098,463,4,0,,,
72,0.009414,2.6046,0.0013,1.0983,1.9735,3538,3070,464,4,0,,,
73,0.009395,2.6204,0.0012,1.1027,1.9752,3517,3057,454,4,0,,,
74,0.009376,2.6229,0.0013,1.1014,1.9744,3556,3087,465,4,0,,,
75,0.009357,2.6214,0.0012,1.0985,1.9665,3484,3043,436,5,0,0.1367,0.5858,0.0289
76,0.009337,2.6062,0.0012,1.0897,1.9803,3578,3099,476,3,0,,,
77,0.009317,2.6386,0.0013,1.1010,1.9698,3555,3078,473,4,0,,,
78,0.009296,2.6395,0.0013,1.0990,1.9765,3591,3105,482,4,0,,,
79,0.009276,2.6567,0.0013,1.1039,1.9830,3583,3104,474,5,1,,,
80,0.009255,2.6370,0.0013,1.0935,1.9837,3520,3061,455,4,0,0.1225,0.5572,0.0274
81,0.009234,2.6481,0.0013,1.0958,1.9752,3552,3088,459,5,0,,,
82,0.009212,2.6681,0.0012,1.1020,1.9759,3534,3074,455,4,0,,,
83,0.009191,2.6452,0.0013,1.0901,1.9763,3578,3110,464,4,0,,,
84,0.009169,2.6203,0.0012,1.0776,1.9820,3499,3036,458,5,0,,,
85,0.009146,2.6582,0.0012,1.0912,1.9731,3488,3037,447,4,0,0.1194,0.5304,0.0261
86,0.009124,2.6525,0.0012,1.0865,1.9820,3394,2931,458,4,0,,,
87,0.009101,2.6925,0.0012,1.1008,1.9770,3488,3022,462,4,0,,,
88,0.009078,2.6658,0.0012,1.0877,1.9780,3484,3028,453,3,0,,,
89,0.009055,2.6928,0.0013,1.0963,1.9885,3531,3063,463,5,0,,,
90,0.009031,2.6872,0.0013,1.0916,1.9848,3611,3128,479,4,0,0.1211,0.5462,0.0269
91,0.009007,2.7101,0.0013,1.0989,1.9878,3580,3106,470,4,0,,,
92,0.008983,2.6744,0.0012,1.0823,1.9923,3524,3074,447,3,0,,,
93,0.008959,2.6945,0.0013,1.0881,1.9769,3576,3110,461,4,0,,,
94,0.008934,2.6794,0.0012,1.0800,1.9917,3471,3013,454,4,0,,,
95,0.008909,2.7033,0.0012,1.0874,1.9979,3488,3021,462,5,0,0.1573,0.5794,0.0285
96,0.008884,2.6885,0.0013,1.0791,1.9960,3573,3105,464,4,0,,,
97,0.008859,2.7172,0.0013,1.0885,2.0063,3569,3092,472,5,0,,,
98,0.008833,2.7361,0.0013,1.0939,1.9906,3565,3089,472,4,0,,,
99,0.008808,2.7141,0.0012,1.0831,2.0060,3447,2987,456,4,0,,,
100,0.008781,2.7138,0.0012,1.0808,2.0156,3525,3053,468,3,0,0.1287,0.5623,0.0277
101,0.008755,2.7290,0.0012,1.0847,1.9917,3494,3023,467,4,0,,,
102,0.008729,2.7366,0.0012,1.0855,2.0103,3583,3109,469,4,0,,,
103,0.008702,2.7567,0.0013,1.0912,1.9865,3594,3125,463,5,0,,,
104,0.008675,2.7646,0.0012,1.0924,1.9983,3515,3036,474,4,0,,,
105,0.008647,2.7336,0.0013,1.0778,2.0056,3531,3059,466,5,0,0.1013,0.4834,0.0238
106,0.008620,2.7336,0.0013,1.0757,1.9998,3537,3075,457,5,0,,,
107,0.008592,2.7414,0.0012,1.0768,1.9993,3438,2996,438,4,0,,,
108,0.008564,2.7288,0.0012,1.0697,1.9996,3525,3067,454,4,0,,,
109,0.008536,2.7398,0.0012,1.0720,1.9924,3497,3038,454,4,0,,,
110,0.008508,2.7650,0.0012,1.0797,2.0006,3543,3093,446,4,0,0.0688,0.4638,0.0228
111,0.008479,2.7818,0.0013,1.0840,2.0086,3555,3062,488,4,0,,,
112,0.008450,2.7547,0.0012,1.0714,2.0039,3563,3086,472,4,0,,,
113,0.008421,2.7837,0.0012,1.0807,2.0012,3583,3113,466,4,0,,,
114,0.008392,2.7511,0.0012,1.0661,2.0053,3518,3082,432,4,0,,,
115,0.008362,2.8041,0.0012,1.0845,1.9943,3501,3043,454,4,0,0.1056,0.5231,0.0258
116,0.008332,2.7479,0.0012,1.0607,2.0173,3460,3013,443,4,0,,,
117,0.008303,2.8041,0.0012,1.0803,2.0113,3516,3055,455,5,0,,,
118,0.008272,2.7962,0.0012,1.0751,2.0072,3578,3099,476,4,0,,,
119,0.008242,2.8055,0.0012,1.0767,1.9964,3546,3099,442,5,0,,,
120,0.008211,2.7791,0.0012,1.0645,2.0126,3539,3072,463,4,0,0.0976,0.4953,0.0244
121,0.008181,2.7979,0.0013,1.0695,2.0252,3538,3060,473,4,0,,,
122,0.008150,2.6458,0.0012,1.0095,2.0964,3012,2605,402,5,0,,,
123,0.008118,2.6749,0.0012,1.0188,2.0960,2993,2587,402,4,0,,,
124,0.008087,2.6223,0.0012,0.9967,2.0928,3004,2592,408,4,0,,,
125,0.008055,2.6634,0.0012,1.0103,2.0858,3045,2626,415,4,0,0.0726,0.5070,0.0250
126,0.008024,2.6342,0.0012,0.9975,2.1086,2951,2537,410,4,0,,,
127,0.007992,2.6391,0.0012,0.9975,2.1077,3023,2604,415,4,0,,,
128,0.007960,2.6476,0.0012,0.9987,2.1140,3008,2590,414,4,0,,,
129,0.007927,2.6435,0.0012,0.9954,2.1008,2976,2580,392,4,0,,,
130,0.007895,2.6742,0.0012,1.0049,2.1008,3031,2621,405,4,1,0.0868,0.5012,0.0247
131,0.007862,2.6540,0.0012,0.9955,2.1018,3023,2605,413,4,0,,,
132,0.007829,2.6869,0.0012,1.0059,2.1025,3055,2636,414,4,0,,,
133,0.007796,2.6661,0.0012,0.9963,2.1040,3055,2642,407,5,0,,,
134,0.007763,2.6857,0.0012,1.0018,2.1008,3024,2605,415,4,0,,,
135,0.007729,2.6793,0.0012,0.9976,2.0946,3060,2648,408,4,0,0.0678,0.4959,0.0244
136,0.007696,2.6750,0.0012,0.9940,2.1049,3002,2578,418,5,0,,,
137,0.007662,2.6832,0.0012,0.9953,2.1229,3052,2635,410,6,0,,,
138,0.007628,2.7051,0.0012,1.0016,2.0995,3081,2667,409,5,0,,,
139,0.007594,2.6821,0.0012,0.9913,2.1136,3025,2617,405,4,0,,,
140,0.007559,2.7179,0.0012,1.0025,2.1124,3074,2642,427,5,0,0.0727,0.5256,0.0259
141,0.007525,2.6999,0.0012,0.9942,2.1025,3042,2630,407,4,0,,,
142,0.007490,2.7276,0.0012,1.0026,2.1156,3005,2602,398,4,0,,,
143,0.007456,2.6844,0.0011,0.9850,2.1163,2988,2589,395,4,0,,,
144,0.007421,2.7135,0.0012,0.9938,2.1051,3016,2604,407,4,0,,,
145,0.007386,2.7084,0.0012,0.9900,2.1108,3002,2585,413,4,0,0.0641,0.4822,0.0237
146,0.007350,2.7155,0.0012,0.9908,2.1166,3114,2688,422,4,0,,,
147,0.007315,2.7298,0.0012,0.9943,2.1115,2992,2580,407,4,0,,,
148,0.007279,2.7136,0.0012,0.9865,2.1270,3029,2610,415,4,0,,,
149,0.007244,2.7692,0.0012,1.0051,2.1139,3055,2630,421,4,0,,,
150,0.007208,2.7501,0.0012,0.9962,2.1214,3070,2643,422,4,0,0.0604,0.4100,0.0202
151,0.007172,3.0224,0.0029,1.0854,2.1065,2749,2247,408,44,50,,,
152,0.007136,2.9887,0.0030,1.0708,2.1205,2738,2232,407,47,52,,,
153,0.007100,2.9990,0.0030,1.0724,2.1175,2744,2241,406,45,52,,,
154,0.007063,2.9938,0.0030,1.0685,2.1058,2704,2202,406,45,51,,,
155,0.007027,2.9831,0.0031,1.0624,2.1338,2659,2159,403,45,51,0.0530,0.4363,0.0215
156,0.006990,2.9875,0.0031,1.0621,2.1262,2724,2227,401,44,51,,,
157,0.006953,2.9985,0.0031,1.0641,2.1206,2730,2237,396,46,51,,,
158,0.006917,3.0092,0.0032,1.0657,2.1305,2761,2250,409,48,54,,,
159,0.006880,2.9825,0.0031,1.0548,2.1322,2749,2247,409,44,50,,,
160,0.006843,2.9924,0.0031,1.0564,2.1377,2753,2245,413,44,52,0.0686,0.4914,0.0242
161,0.006805,3.0052,0.0032,1.0588,2.1232,2700,2215,387,46,52,,,
162,0.006768,3.0292,0.0032,1.0653,2.1298,2783,2268,417,47,52,,,
163,0.006731,3.0350,0.0033,1.0653,2.1178,2799,2280,421,47,52,,,
164,0.006693,3.0235,0.0032,1.0596,2.1340,2753,2247,405,48,53,,,
165,0.006655,3.0047,0.0032,1.0511,2.1410,2741,2228,414,48,51,0.0674,0.4702,0.0232
166,0.006618,2.9908,0.0032,1.0444,2.1459,2682,2185,401,44,52,,,
167,0.006580,3.0069,0.0032,1.0483,2.1318,2690,2194,399,46,52,,,
168,0.006542,3.0225,0.0031,1.0521,2.1399,2666,2168,402,45,51,,,
169,0.006504,3.0386,0.0031,1.0562,2.1465,2716,2212,408,44,52,,,
170,0.006465,3.0258,0.0032,1.0493,2.1381,2720,2218,402,47,53,0.0474,0.3744,0.0184
171,0.006427,3.0180,0.0032,1.0449,2.1347,2758,2253,408,45,52,,,
172,0.006389,3.0307,0.0032,1.0474,2.1385,2728,2222,408,46,52,,,
173,0.006350,3.0595,0.0032,1.0556,2.1387,2741,2238,404,46,54,,,
174,0.006312,3.0281,0.0031,1.0433,2.1490,2707,2205,409,43,51,,,
