epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.001000,110.1173,6.6099,2.1794,0.1214,72,62,10,0,0,,,
2,0.001900,55.9441,3.2660,1.8721,0.2363,72,62,10,0,0,,,
3,0.002800,38.1837,2.1744,1.7315,0.3012,73,63,9,0,0,,,
4,0.003700,29.8299,1.6709,1.5859,0.3476,73,64,10,0,0,,,
5,0.004600,24.8569,1.3746,1.4716,0.3858,75,65,10,0,0,0.0563,0.4339,0.0214
6,0.005500,20.4276,1.1057,1.4059,0.4061,74,65,9,0,0,,,
7,0.006400,16.9017,0.8912,1.3542,0.4213,72,63,10,0,0,,,
8,0.007300,14.1367,0.7203,1.3329,0.4269,73,63,9,0,0,,,
9,0.008200,12.0174,0.5919,1.2950,0.4445,74,64,10,0,0,,,
10,0.009100,10.0614,0.4745,1.2491,0.4514,74,64,10,0,0,0.1187,0.4801,0.0236
11,0.010000,8.6547,0.3888,1.2252,0.4625,73,63,10,0,0,,,
12,0.010000,8.3300,0.3741,1.1809,0.4723,75,66,10,0,0,,,
13,0.009999,8.2127,0.3703,1.1540,0.4792,74,64,9,0,0,,,
14,0.009999,8.0469,0.3614,1.1421,0.4861,75,65,10,0,0,,,
15,0.009997,7.8469,0.3528,1.1119,0.4907,74,64,9,0,0,0.2745,0.6595,0.0325
16,0.009996,7.7077,0.3450,1.1044,0.4973,74,64,10,0,0,,,
17,0.009994,7.6360,0.3406,1.1037,0.4957,74,65,10,0,0,,,
18,0.009992,7.5978,0.3397,1.0929,0.5022,74,64,10,0,0,,,
19,0.009990,7.5645,0.3386,1.0853,0.5027,75,65,10,0,0,,,
20,0.009987,7.4772,0.3356,1.0667,0.5087,74,64,10,0,0,0.3234,0.7104,0.0350
21,0.009984,7.4134,0.3322,1.0625,0.5099,73,64,9,0,0,,,
22,0.009981,7.3555,0.3301,1.0509,0.5124,74,64,10,0,0,,,
23,0.009977,7.2418,0.3244,1.0396,0.5167,75,65,10,0,0,,,
24,0.009973,7.2197,0.3224,1.0450,0.5166,74,64,10,0,0,,,
25,0.009969,7.1423,0.3196,1.0291,0.5173,74,64,10,0,0,0.3476,0.7153,0.0352
26,0.009964,7.0999,0.3164,1.0330,0.5200,72,63,10,0,0,,,
27,0.009959,7.0702,0.3141,1.0368,0.5214,75,65,10,0,0,,,
28,0.009954,7.0480,0.3141,1.0268,0.5230,74,64,10,0,0,,,
29,0.009948,6.9857,0.3115,1.0170,0.5235,74,64,10,0,0,,,
30,0.009942,7.0146,0.3116,1.0300,0.5239,74,64,10,0,0,0.3771,0.7179,0.0354
31,0.009936,6.8584,0.3045,1.0087,0.5281,73,64,9,0,0,,,
32,0.009929,6.9073,0.3084,1.0042,0.5276,74,64,10,0,0,,,
33,0.009922,6.7211,0.2980,0.9923,0.5290,74,64,9,0,0,,,
34,0.009915,6.8109,0.3022,1.0044,0.5291,74,64,9,0,0,,,
35,0.009908,6.8384,0.3041,1.0045,0.5302,73,64,10,0,0,0.4101,0.7500,0.0370
36,0.009900,6.7706,0.2998,1.0038,0.5293,75,66,10,0,0,,,
37,0.009892,6.6903,0.2958,0.9958,0.5320,74,65,9,0,0,,,
38,0.009883,6.6409,0.2926,0.9959,0.5309,75,66,10,0,0,,,
39,0.009875,6.6898,0.2962,0.9933,0.5359,73,64,10,0,0,,,
40,0.009866,6.6481,0.2935,0.9938,0.5338,74,64,10,0,0,0.4188,0.7522,0.0371
41,0.009856,6.6747,0.2966,0.9845,0.5345,73,64,9,0,0,,,
42,0.009846,6.5503,0.2888,0.9828,0.5319,74,64,9,0,0,,,
43,0.009836,6.5465,0.2887,0.9820,0.5371,75,66,9,0,0,,,
44,0.009826,6.5533,0.2901,0.9760,0.5377,74,64,9,0,0,,,
45,0.009816,6.5363,0.2885,0.9792,0.5399,75,65,10,0,0,0.4478,0.7616,0.0375
46,0.009805,6.5477,0.2902,0.9732,0.5393,74,65,9,0,0,,,
47,0.009793,6.5608,0.2912,0.9726,0.5351,73,64,9,0,0,,,
48,0.009782,6.6261,0.2943,0.9818,0.5381,75,65,10,0,0,,,
49,0.009770,6.4549,0.2836,0.9772,0.5397,75,65,10,0,0,,,
50,0.009758,6.5185,0.2880,0.9765,0.5400,74,65,9,0,0,0.4560,0.7784,0.0384
51,0.009745,6.5669,0.2920,0.9723,0.5446,74,64,10,0,0,,,
52,0.009732,6.4883,0.2864,0.9748,0.5413,74,64,10,0,0,,,
53,0.009719,6.3852,0.2812,0.9637,0.5435,74,64,10,0,0,,,
54,0.009706,6.3611,0.2791,0.9677,0.5403,75,65,10,0,0,,,
55,0.009692,6.4055,0.2816,0.9709,0.5410,75,65,10,0,0,0.4623,0.7768,0.0383
56,0.009678,6.4583,0.2856,0.9685,0.5425,75,66,10,0,0,,,
57,0.009664,6.3892,0.2813,0.9666,0.5425,73,64,9,0,0,,,
58,0.009649,6.2547,0.2738,0.9566,0.5470,74,64,10,0,0,,,
59,0.009635,6.3513,0.2790,0.9653,0.5432,74,64,10,0,0,,,
60,0.009619,6.3313,0.2787,0.9590,0.5473,76,65,10,0,0,0.4741,0.7792,0.0384
61,0.009604,6.3274,0.2775,0.9656,0.5469,74,64,10,0,0,,,
62,0.009588,6.2747,0.2758,0.9536,0.5435,74,64,10,0,0,,,
63,0.009572,6.2457,0.2742,0.9516,0.5494,75,65,10,0,0,,,
64,0.009556,6.2581,0.2751,0.9515,0.5466,76,66,10,0,0,,,
65,0.009539,6.3514,0.2792,0.9659,0.5474,75,65,10,0,0,0.4828,0.7810,0.0385
66,0.009522,6.2780,0.2754,0.9587,0.5452,75,65,10,0,0,,,
67,0.009505,6.1658,0.2691,0.9509,0.5483,74,64,10,0,0,,,
68,0.009487,6.2610,0.2756,0.9510,0.5482,74,64,10,0,0,,,
69,0.009469,6.2896,0.2773,0.9530,0.5492,76,66,10,0,0,,,
70,0.009451,6.1756,0.2694,0.9537,0.5495,75,65,10,0,0,0.4842,0.7800,0.0385
71,0.009433,6.2730,0.2761,0.9541,0.5486,76,65,10,0,0,,,
72,0.009414,6.2337,0.2734,0.9543,0.5499,75,65,10,0,0,,,
73,0.009395,6.1882,0.2713,0.9482,0.5489,73,64,9,0,0,,,
74,0.009376,6.1384,0.2692,0.9406,0.5486,74,64,10,0,0,,,
75,0.009357,6.1744,0.2691,0.9565,0.5491,74,64,10,0,0,0.5019,0.7864,0.0388
76,0.009337,6.1069,0.2672,0.9399,0.5505,73,64,9,0,0,,,
77,0.009317,6.1983,0.2726,0.9456,0.5513,75,65,10,0,0,,,
78,0.009296,6.0923,0.2663,0.9396,0.5498,73,64,9,0,0,,,
79,0.009276,5.9829,0.2583,0.9427,0.5506,75,65,10,0,0,,,
80,0.009255,6.0711,0.2638,0.9464,0.5521,73,64,9,0,0,0.4750,0.7815,0.0386
81,0.009234,6.0864,0.2650,0.9462,0.5507,75,65,10,0,0,,,
82,0.009212,6.0445,0.2628,0.9417,0.5494,74,65,9,0,0,,,
83,0.009191,6.0744,0.2651,0.9409,0.5523,75,65,10,0,0,,,
84,0.009169,5.9998,0.2603,0.9390,0.5528,75,65,10,0,0,,,
85,0.009146,6.0629,0.2654,0.9348,0.5509,74,65,10,0,0,0.5034,0.7980,0.0394
86,0.009124,6.0117,0.2608,0.9411,0.5534,75,65,10,0,0,,,
87,0.009101,6.0036,0.2630,0.9251,0.5525,75,65,10,0,0,,,
88,0.009078,5.9475,0.2587,0.9275,0.5546,76,66,10,0,0,,,
89,0.009055,6.0960,0.2667,0.9418,0.5516,75,65,10,0,0,,,
90,0.009031,5.9245,0.2575,0.9253,0.5538,75,65,10,0,0,0.4586,0.7846,0.0387
91,0.009007,5.9632,0.2594,0.9306,0.5555,75,65,10,0,0,,,
