epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.000200,19.5367,1.1100,0.8885,0.5729,73,63,10,0,0,,,
2,0.000800,16.3501,0.9132,0.8921,0.5713,75,65,10,0,0,,,
3,0.001400,14.2129,0.7816,0.8907,0.5714,74,64,10,0,0,,,
4,0.002000,12.6668,0.6858,0.8932,0.5684,75,65,10,0,0,,,
5,0.002000,11.2501,0.5974,0.8954,0.5688,73,63,10,0,0,0.5045,0.7998,0.0395
6,0.001999,9.7943,0.5062,0.8946,0.5660,75,65,9,0,0,,,
7,0.001997,8.7200,0.4381,0.8978,0.5684,74,64,10,0,0,,,
8,0.001994,7.6039,0.3670,0.8992,0.5653,74,64,9,0,0,,,
9,0.001991,6.7771,0.3133,0.9051,0.5640,75,66,9,0,0,,,
10,0.001987,6.0888,0.2678,0.9137,0.5681,75,65,10,0,0,0.5519,0.8184,0.0405
11,0.001983,5.4432,0.2279,0.8996,0.5718,73,64,10,0,0,,,
12,0.001978,5.5093,0.2305,0.9113,0.5701,73,63,9,0,0,,,
13,0.001972,5.5712,0.2340,0.9158,0.5678,74,65,10,0,0,,,
14,0.001965,5.4926,0.2298,0.9089,0.5683,74,64,10,0,0,,,
15,0.001958,5.5963,0.2360,0.9137,0.5653,76,66,10,0,0,0.5644,0.8294,0.0409
16,0.001950,5.4636,0.2273,0.9127,0.5666,76,66,10,0,0,,,
17,0.001941,5.4237,0.2261,0.9033,0.5662,75,65,9,0,0,,,
18,0.001932,5.4952,0.2293,0.9136,0.5687,75,65,10,0,0,,,
19,0.001922,5.5003,0.2296,0.9137,0.5693,76,66,10,0,0,,,
20,0.001911,5.4659,0.2271,0.9152,0.5693,74,64,10,0,0,0.5483,0.8278,0.0411
21,0.001900,5.3910,0.2248,0.8973,0.5665,74,65,9,0,0,,,
22,0.001888,5.3890,0.2250,0.8954,0.5683,74,64,10,0,0,,,
23,0.001876,5.5048,0.2309,0.9082,0.5714,73,63,10,0,0,,,
24,0.001863,5.5373,0.2329,0.9094,0.5717,75,65,10,0,0,,,
25,0.001849,5.5299,0.2323,0.9101,0.5673,74,64,9,0,0,0.5685,0.8274,0.0409
26,0.001835,5.4970,0.2295,0.9136,0.5681,75,65,10,0,0,,,
27,0.001820,5.4977,0.2296,0.9133,0.5696,74,64,10,0,0,,,
28,0.001804,5.4583,0.2272,0.9109,0.5683,74,64,9,0,0,,,
29,0.001788,5.5729,0.2355,0.9097,0.5670,74,64,10,0,0,,,
30,0.001772,5.5011,0.2310,0.9069,0.5671,74,64,10,0,0,0.5570,0.8237,0.0408
31,0.001755,5.4549,0.2271,0.9100,0.5675,73,63,10,0,0,,,
32,0.001737,5.4108,0.2240,0.9101,0.5672,75,65,10,0,0,,,
33,0.001719,5.4702,0.2280,0.9111,0.5688,75,64,10,0,0,,,
34,0.001700,5.4874,0.2313,0.9002,0.5698,74,64,10,0,0,,,
35,0.001681,5.5059,0.2299,0.9149,0.5677,75,64,10,0,0,0.5603,0.8205,0.0406
36,0.001662,5.4916,0.2302,0.9079,0.5669,74,64,10,0,0,,,
37,0.001642,5.4598,0.2269,0.9131,0.5700,75,65,10,0,0,,,
38,0.001621,5.3970,0.2234,0.9071,0.5686,72,62,9,0,0,,,
39,0.001600,5.4551,0.2261,0.9152,0.5679,76,66,10,0,0,,,
40,0.001579,5.4228,0.2249,0.9089,0.5668,76,66,10,0,0,0.5551,0.8229,0.0406
41,0.001557,5.4858,0.2281,0.9167,0.5644,76,66,10,0,0,,,
42,0.001535,5.3947,0.2228,0.9087,0.5682,74,64,10,0,0,,,
43,0.001512,5.5203,0.2346,0.8978,0.5704,74,64,10,0,0,,,
44,0.001490,5.5128,0.2317,0.9089,0.5689,76,66,10,0,0,,,
45,0.001466,5.4339,0.2259,0.9080,0.5701,74,64,10,0,0,0.5512,0.8253,0.0408
46,0.001443,5.5155,0.2327,0.9058,0.5684,75,65,10,0,0,,,
47,0.001419,5.5371,0.2304,0.9243,0.5661,75,65,10,0,0,,,
48,0.001395,5.3869,0.2205,0.9159,0.5681,75,66,10,0,0,,,
49,0.001371,5.4140,0.2230,0.9144,0.5694,74,64,10,0,0,,,
50,0.001346,5.4513,0.2276,0.9062,0.5694,75,65,10,0,0,0.5522,0.8241,0.0407
51,0.001321,5.4678,0.2287,0.9075,0.5637,74,64,10,0,0,,,
52,0.001296,5.5371,0.2323,0.9160,0.5692,75,65,10,0,0,,,
53,0.001271,5.5263,0.2321,0.9131,0.5679,75,65,10,0,0,,,
54,0.001246,5.4773,0.2294,0.9078,0.5660,74,64,10,0,0,,,
55,0.001220,5.4301,0.2271,0.9013,0.5672,75,65,10,0,0,0.5507,0.8231,0.0406
56,0.001194,5.5385,0.2337,0.9107,0.5710,76,66,10,0,0,,,
57,0.001168,5.4755,0.2294,0.9072,0.5683,76,66,10,0,0,,,
58,0.001143,5.3974,0.2235,0.9052,0.5659,76,66,10,0,0,,,
59,0.001116,5.4593,0.2278,0.9085,0.5704,73,63,10,0,0,,,
60,0.001090,5.3945,0.2242,0.9012,0.5680,75,65,10,0,0,0.5508,0.8276,0.0412
61,0.001064,5.4734,0.2299,0.9050,0.5678,74,64,9,0,0,,,
62,0.001038,5.4131,0.2277,0.8937,0.5672,73,64,9,0,0,,,
63,0.001012,5.4171,0.2226,0.9151,0.5669,74,65,9,0,0,,,
64,0.000986,5.4469,0.2280,0.9039,0.5679,74,64,9,0,0,,,
65,0.000960,5.4208,0.2264,0.9016,0.5693,75,65,10,0,0,0.5519,0.8235,0.0407
66,0.000934,5.4280,0.2276,0.8992,0.5668,73,64,10,0,0,,,
67,0.000907,5.3641,0.2214,0.9018,0.5679,75,66,10,0,0,,,
68,0.000882,5.4619,0.2316,0.8955,0.5678,74,64,9,0,0,,,
69,0.000856,5.4968,0.2337,0.8991,0.5684,74,65,10,0,0,,,
70,0.000830,5.4575,0.2297,0.9012,0.5695,75,65,10,0,0,0.5586,0.8258,0.0409
71,0.000804,5.3612,0.2208,0.9029,0.5645,74,64,9,0,0,,,
72,0.000779,5.5104,0.2317,0.9110,0.5710,75,65,10,0,0,,,
