epoch,lr,train_loss,obj_loss,box_loss,iou_loss,n_pos,pos_s4,pos_s8,pos_s16,pos_s32,ap,recall,precision
1,0.001000,122.1188,7.3378,2.3573,0.0771,74,64,10,0,0,,,
2,0.001900,69.8747,4.0850,2.2927,0.0894,71,61,9,0,0,,,
3,0.002800,38.6252,2.1614,2.0541,0.1687,71,61,9,0,0,,,
4,0.003700,28.0413,1.5356,1.7684,0.2883,72,63,9,0,0,,,
5,0.004600,22.4120,1.2003,1.6356,0.3309,73,63,10,0,0,0.0300,0.3333,0.0164
6,0.005500,18.3936,0.9622,1.5279,0.3609,73,63,10,0,0,,,
7,0.006400,15.1865,0.7720,1.4417,0.3889,72,63,10,0,0,,,
8,0.007300,12.8734,0.6350,1.3769,0.4056,74,64,9,0,0,,,
9,0.008200,10.8579,0.5121,1.3464,0.4190,73,64,9,0,0,,,
10,0.009100,9.3419,0.4224,1.3001,0.4343,71,62,9,0,0,0.1217,0.5357,0.0264
11,0.010000,7.9926,0.3407,1.2727,0.4418,73,63,10,0,0,,,
12,0.010000,7.8934,0.3380,1.2460,0.4510,73,63,9,0,0,,,
13,0.009999,7.7502,0.3310,1.2296,0.4570,73,63,10,0,0,,,
14,0.009999,7.7347,0.3315,1.2191,0.4620,74,64,10,0,0,,,
15,0.009997,7.5816,0.3260,1.1871,0.4660,72,63,9,0,0,0.1988,0.5961,0.0294
16,0.009996,7.5496,0.3230,1.1947,0.4699,73,64,10,0,0,,,
17,0.009994,7.5144,0.3232,1.1762,0.4756,73,63,10,0,0,,,
18,0.009992,7.3493,0.3160,1.1514,0.4751,74,64,10,0,0,,,
19,0.009990,7.3620,0.3175,1.1469,0.4779,73,64,10,0,0,,,
20,0.009987,7.2337,0.3112,1.1322,0.4812,75,65,10,0,0,0.1860,0.5673,0.0279
21,0.009984,7.2550,0.3121,1.1359,0.4847,74,64,10,0,0,,,
22,0.009981,7.1990,0.3101,1.1251,0.4869,75,65,10,0,0,,,
23,0.009977,7.1156,0.3067,1.1106,0.4861,74,65,9,0,0,,,
24,0.009973,7.1305,0.3065,1.1193,0.4905,73,64,9,0,0,,,
25,0.009969,7.0055,0.3011,1.1000,0.4923,73,64,9,0,0,0.2863,0.6887,0.0339
26,0.009964,7.0692,0.3050,1.1020,0.4968,74,64,10,0,0,,,
27,0.009959,7.0824,0.3058,1.1024,0.4973,75,65,10,0,0,,,
28,0.009954,6.9452,0.2987,1.0900,0.4989,73,64,10,0,0,,,
29,0.009948,6.9388,0.2988,1.0866,0.4995,74,64,10,0,0,,,
30,0.009942,6.8505,0.2933,1.0851,0.4998,74,64,9,0,0,0.3087,0.6840,0.0337
31,0.009936,6.9128,0.2990,1.0736,0.5025,74,64,10,0,0,,,
32,0.009929,6.8275,0.2939,1.0709,0.5061,75,65,10,0,0,,,
33,0.009922,6.8642,0.2965,1.0692,0.5047,73,63,10,0,0,,,
34,0.009915,6.8215,0.2943,1.0659,0.5062,76,66,10,0,0,,,
35,0.009908,6.8446,0.2959,1.0652,0.5076,74,65,10,0,0,0.3441,0.7163,0.0353
